rank,Name,Team,POS,Salary,Years,Total Value,Avg Annual
596,Jerad Eickhoff,PHI,SP,"$568,000",1 (2018),"$568,000","$568,000"
597,Joe Ross,WSH,SP,"$567,900",1 (2018),"$567,900","$567,900"
598,James Hoyt,HOU,RP,"$567,700",1 (2018),"$567,700","$567,700"
599,Travis Shaw,MIL,3B,"$567,400",1 (2018),"$567,400","$567,400"
600,A.J. Schugel,PIT,RP,"$567,000",1 (2018),"$567,000","$567,000"
601,Luis Perdomo,SD,SP,"$566,800",1 (2018),"$566,800","$566,800"
602,Mychal Givens,BAL,RP,"$566,500",1 (2018),"$566,500","$566,500"
603,Matt Bowman,STL,RP,"$565,900",1 (2018),"$565,900","$565,900"
604,Dansby Swanson,ATL,SS,"$565,000",1 (2018),"$565,000","$565,000"
605,Jose Ramirez,ATL,RP,"$565,000",1 (2018),"$565,000","$565,000"
606,Preston Tucker,ATL,OF,"$565,000",1 (2018),"$565,000","$565,000"
607,Ty Blach,SF,SP,"$565,000",1 (2018),"$565,000","$565,000"
608,Enny Romero,WSH,RP,"$565,000",1 (2018),"$565,000","$565,000"
609,Taylor Rogers,MIN,RP,"$565,000",1 (2018),"$565,000","$565,000"
610,Tyler Saladino,CWS,3B,"$565,000",1 (2018),"$565,000","$565,000"
611,Tyler Naquin,CLE,OF,"$564,800",1 (2018),"$564,800","$564,800"
612,Rafael Devers,BOS,3B,"$564,500",1 (2018),"$564,500","$564,500"
613,Seth Lugo,NYM,SP,"$564,000",1 (2018),"$564,000","$564,000"
614,Nomar Mazara,TEX,OF,"$563,560",1 (2018),"$563,560","$563,560"
615,Blake Swihart,BOS,C,"$563,500",1 (2018),"$563,500","$563,500"
616,Robert Gsellman,NYM,RP,"$562,375",1 (2018),"$562,375","$562,375"
617,Matthew Boyd,DET,SP,"$562,000",1 (2018),"$562,000","$562,000"
618,Jorge Bonifacio,KC,OF,"$561,900",1 (2018),"$561,900","$561,900"
619,Danny Barnes,TOR,RP,"$561,600",1 (2018),"$561,600","$561,600"
620,Deven Marrero,ARI,SS,"$561,500",1 (2018),"$561,500","$561,500"
621,Gorkys Hernandez,SF,OF,"$561,500",1 (2018),"$561,500","$561,500"
622,Nick Goody,CLE,RP,"$561,500",1 (2018),"$561,500","$561,500"
623,Delino DeShields,TEX,OF,"$561,500",1 (2018),"$561,500","$561,500"
624,Daniel Norris,DET,SP,"$561,400",1 (2018),"$561,400","$561,400"
625,Aaron Altherr,PHI,OF,"$561,000",1 (2018),"$561,000","$561,000"
626,Jose Martinez,STL,OF,"$560,400",1 (2018),"$560,400","$560,400"
627,Mikie Mahtook,DET,OF,"$560,400",1 (2018),"$560,400","$560,400"
628,Sammy Solis,WSH,RP,"$560,300",1 (2018),"$560,300","$560,300"
629,Mitch Haniger,SEA,OF,"$560,200",1 (2018),"$560,200","$560,200"
630,Manny Pina,MIL,C,"$560,100",1 (2018),"$560,100","$560,100"
631,Kelby Tomlinson,SF,2B,"$560,000",1 (2018),"$560,000","$560,000"
632,Yadiel Rivera,MIA,3B,"$560,000",1 (2018),"$560,000","$560,000"
633,Adam Morgan,PHI,RP,"$560,000",1 (2018),"$560,000","$560,000"
634,Joey Gallo,TEX,1B,"$560,000",1 (2018),"$560,000","$560,000"
635,Kevan Smith,CWS,C,"$560,000",1 (2018),"$560,000","$560,000"
636,Omar Narvaez,CWS,C,"$560,000",1 (2018),"$560,000","$560,000"
637,Orlando Arcia,MIL,SS,"$559,600",1 (2018),"$559,600","$559,600"
638,Ryon Healy,SEA,1B,"$559,200",1 (2018),"$559,200","$559,200"
639,Clint Frazier,NYY,OF,"$559,200",1 (2018),"$559,200","$559,200"
640,Jefry Marte,LAA,1B,"$559,000",1 (2018),"$559,000","$559,000"
641,Vince Velasquez,PHI,SP,"$559,000",1 (2018),"$559,000","$559,000"
642,Elias Diaz,PIT,C,"$559,000",1 (2018),"$559,000","$559,000"
643,Jacob Barnes,MIL,RP,"$558,900",1 (2018),"$558,900","$558,900"
644,Tyler Austin,NYY,1B,"$558,600",1 (2018),"$558,600","$558,600"
645,Mike Clevinger,CLE,SP,"$558,500",1 (2018),"$558,500","$558,500"
646,Luke Maile,TOR,C,"$558,400",1 (2018),"$558,400","$558,400"
647,Matt Andriese,TB,RP,"$558,400",1 (2018),"$558,400","$558,400"
648,Blake Snell,TB,SP,"$558,200",1 (2018),"$558,200","$558,200"
649,Ben Gamel,SEA,OF,"$558,100",1 (2018),"$558,100","$558,100"
650,Rafael Montero,NYM,RP,"$558,025",1 (2018),"$558,025","$558,025"
651,John Ryan Murphy,ARI,C,"$558,000",1 (2018),"$558,000","$558,000"
652,Josh Osich,SF,RP,"$558,000",1 (2018),"$558,000","$558,000"
653,Gregory Infante,CWS,RP,"$558,000",1 (2018),"$558,000","$558,000"
654,Juan Minaya,CWS,RP,"$558,000",1 (2018),"$558,000","$558,000"
655,Wilmer Difo,WSH,2B,"$557,900",1 (2018),"$557,900","$557,900"
656,Dovydas Neverauskas,PIT,RP,"$557,500",1 (2018),"$557,500","$557,500"
657,Wandy Peralta,CIN,RP,"$557,500",1 (2018),"$557,500","$557,500"
658,Kevin Plawecki,NYM,C,"$557,471",1 (2018),"$557,471","$557,471"
659,Jesus Aguilar,MIL,1B,"$557,200",1 (2018),"$557,200","$557,200"
660,Max Stassi,HOU,C,"$557,100",1 (2018),"$557,100","$557,100"
661,Matt Grace,WSH,RP,"$557,000",1 (2018),"$557,000","$557,000"
662,Steven Brault,PIT,RP,"$557,000",1 (2018),"$557,000","$557,000"
663,Manuel Margot,SD,OF,"$556,900",1 (2018),"$556,900","$556,900"
664,Brent Suter,MIL,SP,"$556,500",1 (2018),"$556,500","$556,500"
665,Josh Hader,MIL,RP,"$556,500",1 (2018),"$556,500","$556,500"
666,Trey Mancini,BAL,OF,"$556,500",1 (2018),"$556,500","$556,500"
667,Edgar Santana,PIT,RP,"$556,500",1 (2018),"$556,500","$556,500"
668,Tyler Glasnow,PIT,RP,"$556,500",1 (2018),"$556,500","$556,500"
669,Jandel Gustave,HOU,RP,"$556,400",1 (2018),"$556,400","$556,400"
670,Jose Pirela,SD,OF,"$556,200",1 (2018),"$556,200","$556,200"
671,Richard Bleier,BAL,RP,"$556,000",1 (2018),"$556,000","$556,000"
672,Brandon Nimmo,NYM,OF,"$555,968",1 (2018),"$555,968","$555,968"
673,Matt Bush,TEX,RP,"$555,950",1 (2018),"$555,950","$555,950"
674,Dinelson Lamet,SD,SP,"$555,700",1 (2018),"$555,700","$555,700"
675,Colin Rea,SD,SP,"$555,600",1 (2018),"$555,600","$555,600"
676,A.J. Cole,WSH,SP,"$555,300",1 (2018),"$555,300","$555,300"
677,Ryan Buchter,OAK,RP,"$555,000",1 (2018),"$555,000","$555,000"
678,Ryan Dull,OAK,RP,"$555,000",1 (2018),"$555,000","$555,000"
679,A.J. Minter,ATL,RP,"$555,000",1 (2018),"$555,000","$555,000"
680,Johan Camargo,ATL,3B,"$555,000",1 (2018),"$555,000","$555,000"
681,Luiz Gohara,ATL,SP,"$555,000",1 (2018),"$555,000","$555,000"
682,Ozzie Albies,ATL,2B,"$555,000",1 (2018),"$555,000","$555,000"
683,Sean Newcomb,ATL,SP,"$555,000",1 (2018),"$555,000","$555,000"
684,Shane Carle,ATL,RP,"$555,000",1 (2018),"$555,000","$555,000"
685,Austin Barnes,LAD,C,"$555,000",1 (2018),"$555,000","$555,000"
686,Ross Stripling,LAD,RP,"$555,000",1 (2018),"$555,000","$555,000"
687,Scott Alexander,LAD,RP,"$555,000",1 (2018),"$555,000","$555,000"
688,Jarlin Garcia,MIA,SP,"$555,000",1 (2018),"$555,000","$555,000"
689,Phillip Evans,NYM,3B,"$555,000",1 (2018),"$555,000","$555,000"
690,Trevor Gott,WSH,RP,"$555,000",1 (2018),"$555,000","$555,000"
691,Jake Faria,TB,SP,"$555,000",1 (2018),"$555,000","$555,000"
692,Luis Castillo,CIN,SP,"$555,000",1 (2018),"$555,000","$555,000"
693,Jon Gray,COL,SP,"$555,000",1 (2018),"$555,000","$555,000"
694,Scott Oberg,COL,RP,"$555,000",1 (2018),"$555,000","$555,000"
695,Trevor Story,COL,SS,"$555,000",1 (2018),"$555,000","$555,000"
696,Tyler Anderson,COL,SP,"$555,000",1 (2018),"$555,000","$555,000"
697,Trevor Hildenberger,MIN,RP,"$555,000",1 (2018),"$555,000","$555,000"
698,Lucas Giolito,CWS,SP,"$555,000",1 (2018),"$555,000","$555,000"
699,Reynaldo Lopez,CWS,SP,"$555,000",1 (2018),"$555,000","$555,000"
700,Yoan Moncada,CWS,2B,"$555,000",1 (2018),"$555,000","$555,000"
701,Buck Farmer,DET,RP,"$554,800",1 (2018),"$554,800","$554,800"
702,Sam Tuivailala,STL,RP,"$554,600",1 (2018),"$554,600","$554,600"
703,Derek Fisher,HOU,OF,"$554,400",1 (2018),"$554,400","$554,400"
704,Oliver Drake,MIL,RP,"$554,300",1 (2018),"$554,300","$554,300"
705,Jakob Junis,KC,SP,"$554,250",1 (2018),"$554,250","$554,250"
706,Edubray Ramos,PHI,RP,"$554,000",1 (2018),"$554,000","$554,000"
707,Marco Hernandez,BOS,SS,"$554,000",1 (2018),"$554,000","$554,000"
708,James Pazos,SEA,RP,"$553,900",1 (2018),"$553,900","$553,900"
709,Brian Goodwin,WSH,OF,"$553,900",1 (2018),"$553,900","$553,900"
710,Jonathan Holder,NYY,RP,"$553,850",1 (2018),"$553,850","$553,850"
711,Hunter Renfroe,SD,OF,"$553,800",1 (2018),"$553,800","$553,800"
712,Dixon Machado,DET,2B,"$553,600",1 (2018),"$553,600","$553,600"
713,Mike Wright Jr.,BAL,SP,"$553,500",1 (2018),"$553,500","$553,500"
714,Paul Sewald,NYM,RP,"$553,250",1 (2018),"$553,250","$553,250"
715,Austin Hedges,SD,C,"$553,100",1 (2018),"$553,100","$553,100"
716,Miguel Castro,BAL,RP,"$553,000",1 (2018),"$553,000","$553,000"
717,Nick Williams,PHI,OF,"$553,000",1 (2018),"$553,000","$553,000"
718,Mallex Smith,TB,OF,"$553,000",1 (2018),"$553,000","$553,000"
719,Nicky Delmonico,CWS,OF,"$553,000",1 (2018),"$553,000","$553,000"
720,Bryan Mitchell,SD,SP,"$552,800",1 (2018),"$552,800","$552,800"
721,Matt Strahm,SD,SP,"$552,700",1 (2018),"$552,700","$552,700"
722,Chris Stratton,SF,SP,"$552,500",1 (2018),"$552,500","$552,500"
723,Rhys Hoskins,PHI,OF,"$552,500",1 (2018),"$552,500","$552,500"
724,Rob Refsnyder,TB,2B,"$552,500",1 (2018),"$552,500","$552,500"
725,Burch Smith,KC,RP,"$552,450",1 (2018),"$552,450","$552,450"
726,Jose Leclerc,TEX,RP,"$552,300",1 (2018),"$552,300","$552,300"
727,Dalton Pompey,TOR,OF,"$552,000",1 (2018),"$552,000","$552,000"
728,Austin Maddox,BOS,RP,"$552,000",1 (2018),"$552,000","$552,000"
729,Daniel Stumpf,DET,RP,"$552,000",1 (2018),"$552,000","$552,000"
730,Adam Engel,CWS,OF,"$552,000",1 (2018),"$552,000","$552,000"
731,Carson Fulmer,CWS,SP,"$552,000",1 (2018),"$552,000","$552,000"
732,Koda Glover,WSH,RP,"$551,700",1 (2018),"$551,700","$551,700"
733,Alex Dickerson,SD,OF,"$551,600",1 (2018),"$551,600","$551,600"
734,Alex Meyer,LAA,SP,"$551,500",1 (2018),"$551,500","$551,500"
735,Drew VerHagen,DET,RP,"$551,400",1 (2018),"$551,400","$551,400"
736,John Hicks,DET,C,"$551,300",1 (2018),"$551,300","$551,300"
737,Tyler Wade,NYY,OF,"$551,300",1 (2018),"$551,300","$551,300"
738,Bradley Zimmer,CLE,OF,"$551,200",1 (2018),"$551,200","$551,200"
739,Keynan Middleton,LAA,RP,"$551,000",1 (2018),"$551,000","$551,000"
740,Nick Pivetta,PHI,SP,"$551,000",1 (2018),"$551,000","$551,000"
741,Luke Weaver,STL,SP,"$550,800",1 (2018),"$550,800","$550,800"
742,Jett Bandy,MIL,C,"$550,700",1 (2018),"$550,700","$550,700"
743,Warwick Saupold,DET,RP,"$550,400",1 (2018),"$550,400","$550,400"
744,Marco Gonzales,SEA,SP,"$550,300",1 (2018),"$550,300","$550,300"
745,Austin Pruitt,TB,RP,"$550,200",1 (2018),"$550,200","$550,200"
746,J.D. Davis,HOU,3B,"$550,100",1 (2018),"$550,100","$550,100"
747,Brandon Woodruff,MIL,SP,"$550,100",1 (2018),"$550,100","$550,100"
748,Carlos Asuaje,SD,2B,"$550,100",1 (2018),"$550,100","$550,100"
749,Andrew Triggs,OAK,SP,"$550,000",1 (2018),"$550,000","$550,000"
750,Bruce Maxwell,OAK,C,"$550,000",1 (2018),"$550,000","$550,000"
751,Chad Pinder,OAK,SS,"$550,000",1 (2018),"$550,000","$550,000"
752,Daniel Coulombe,OAK,RP,"$550,000",1 (2018),"$550,000","$550,000"
753,Jharel Cotton,OAK,SP,"$550,000",1 (2018),"$550,000","$550,000"
754,Sean Manaea,OAK,SP,"$550,000",1 (2018),"$550,000","$550,000"
755,J.T. Chargois,LAD,RP,"$550,000",1 (2018),"$550,000","$550,000"
756,Julio Urias,LAD,SP,"$550,000",1 (2018),"$550,000","$550,000"
757,Wilmer Font,LAD,RP,"$550,000",1 (2018),"$550,000","$550,000"
758,Roberto E Gomez,SF,RP,"$550,000",1 (2018),"$550,000","$550,000"
759,Ben Lively,PHI,SP,"$550,000",1 (2018),"$550,000","$550,000"
760,Colin Moran,PIT,3B,"$550,000",1 (2018),"$550,000","$550,000"
761,Antonio Senzatela,COL,RP,"$550,000",1 (2018),"$550,000","$550,000"
762,Carlos Estevez,COL,RP,"$550,000",1 (2018),"$550,000","$550,000"
763,German Marquez,COL,SP,"$550,000",1 (2018),"$550,000","$550,000"
764,Kyle Freeland,COL,SP,"$550,000",1 (2018),"$550,000","$550,000"
765,Pat Valaika,COL,SS,"$550,000",1 (2018),"$550,000","$550,000"
766,Tony Wolters,COL,C,"$550,000",1 (2018),"$550,000","$550,000"
767,Dan Altavilla,SEA,RP,"$549,900",1 (2018),"$549,900","$549,900"
768,Jose Alvarado,TB,RP,"$549,800",1 (2018),"$549,800","$549,800"
769,Mark Leiter,PHI,RP,"$549,500",1 (2018),"$549,500","$549,500"
770,JaCoby Jones,DET,OF,"$549,400",1 (2018),"$549,400","$549,400"
771,Gabriel Ynoa,BAL,SP,"$549,000",1 (2018),"$549,000","$549,000"
772,Jake Thompson,PHI,RP,"$549,000",1 (2018),"$549,000","$549,000"
773,Aaron Bummer,CWS,RP,"$549,000",1 (2018),"$549,000","$549,000"
774,Amed Rosario,NYM,SS,"$548,940",1 (2018),"$548,940","$548,940"
775,Johnny Barbato,DET,RP,"$548,600",1 (2018),"$548,600","$548,600"
776,Noe Ramirez,LAA,RP,"$548,500",1 (2018),"$548,500","$548,500"
777,Allen Cordoba,SD,2B,"$548,500",1 (2018),"$548,500","$548,500"
778,Christian Villanueva,SD,3B,"$548,500",1 (2018),"$548,500","$548,500"
779,Giovanny Urshela,CLE,3B,"$548,300",1 (2018),"$548,300","$548,300"
780,Tyler Olson,CLE,RP,"$548,300",1 (2018),"$548,300","$548,300"
781,Daniel Robertson,TB,SS,"$548,300",1 (2018),"$548,300","$548,300"
782,Jeimer Candelario,DET,3B,"$548,300",1 (2018),"$548,300","$548,300"
783,Andrew Kittredge,TB,RP,"$548,100",1 (2018),"$548,100","$548,100"
784,Andrew Knapp,PHI,C,"$548,000",1 (2018),"$548,000","$548,000"
785,Hoby Milner,PHI,RP,"$548,000",1 (2018),"$548,000","$548,000"
786,Brian Johnson,BOS,SP,"$548,000",1 (2018),"$548,000","$548,000"
787,Drew Robinson,TEX,OF,"$547,990",1 (2018),"$547,990","$547,990"
788,Erik Gonzalez,CLE,SS,"$547,800",1 (2018),"$547,800","$547,800"
789,Gift Ngoepe,TOR,2B,"$547,600",1 (2018),"$547,600","$547,600"
790,Boog Powell,OAK,OF,"$547,500",1 (2018),"$547,500","$547,500"
791,Daniel Gossett,OAK,SP,"$547,500",1 (2018),"$547,500","$547,500"
792,Daniel Mengden,OAK,SP,"$547,500",1 (2018),"$547,500","$547,500"
793,Emilio Pagan,OAK,RP,"$547,500",1 (2018),"$547,500","$547,500"
794,Matt Chapman,OAK,3B,"$547,500",1 (2018),"$547,500","$547,500"
795,Matt Olson,OAK,1B,"$547,500",1 (2018),"$547,500","$547,500"
796,Paul Blackburn,OAK,SP,"$547,500",1 (2018),"$547,500","$547,500"
797,Victor Caratini,CHC,C,"$547,500",1 (2018),"$547,500","$547,500"
798,Kyle Farmer,LAD,C,"$547,500",1 (2018),"$547,500","$547,500"
799,Amir Garrett,CIN,SP,"$547,500",1 (2018),"$547,500","$547,500"
800,Austin Brice,CIN,RP,"$547,500",1 (2018),"$547,500","$547,500"
801,Cody Reed,CIN,RP,"$547,500",1 (2018),"$547,500","$547,500"
802,Mitch Garver,MIN,C,"$547,500",1 (2018),"$547,500","$547,500"
803,Joe Jimenez,DET,RP,"$547,200",1 (2018),"$547,200","$547,200"
804,Raul Mondesi,KC,2B,"$547,125",1 (2018),"$547,125","$547,125"
805,Jorge Alfaro,PHI,C,"$547,000",1 (2018),"$547,000","$547,000"
806,Ricardo Rodriguez,TEX,RP,"$547,000",1 (2018),"$547,000","$547,000"
807,Hector Velazquez,BOS,SP,"$547,000",1 (2018),"$547,000","$547,000"
808,Jeff Hoffman,COL,SP,"$547,000",1 (2018),"$547,000","$547,000"
809,Mike Tauchman,COL,OF,"$547,000",1 (2018),"$547,000","$547,000"
810,Ryan McMahon,COL,1B,"$547,000",1 (2018),"$547,000","$547,000"
811,Kyle McGrath,SD,RP,"$546,900",1 (2018),"$546,900","$546,900"
812,Joey Wendle,TB,2B,"$546,900",1 (2018),"$546,900","$546,900"
813,Dominic Smith,NYM,1B,"$546,800",1 (2018),"$546,800","$546,800"
814,Eric Skoglund,KC,SP,"$546,625",1 (2018),"$546,625","$546,625"
815,Anthony Santander,BAL,OF,"$546,500",1 (2018),"$546,500","$546,500"
816,Chance Sisco,BAL,C,"$546,500",1 (2018),"$546,500","$546,500"
817,Franchy Cordero,SD,OF,"$546,500",1 (2018),"$546,500","$546,500"
818,Cam Gallagher,KC,C,"$546,400",1 (2018),"$546,400","$546,400"
819,Bubba Starling,KC,OF,"$546,200",1 (2018),"$546,200","$546,200"
820,Casey Lawrence,SEA,RP,"$546,000",1 (2018),"$546,000","$546,000"
821,Raudy Read,WSH,C,"$546,000",1 (2018),"$546,000","$546,000"
822,Clayton Blackburn,TEX,SP,"$546,000",1 (2018),"$546,000","$546,000"
823,Ronald Herrera,TEX,SP,"$546,000",1 (2018),"$546,000","$546,000"
824,Ryan Merritt,CLE,RP,"$545,800",1 (2018),"$545,800","$545,800"
825,Daniel Vogelbach,SEA,1B,"$545,700",1 (2018),"$545,700","$545,700"
826,Mike Marjama,SEA,C,"$545,700",1 (2018),"$545,700","$545,700"
827,Jacob Rhame,NYM,RP,"$545,650",1 (2018),"$545,650","$545,650"
828,Alex Reyes,STL,SP,"$545,600",1 (2018),"$545,600","$545,600"
829,Jose De Leon,TB,RP,"$545,600",1 (2018),"$545,600","$545,600"
830,Reyes Moronta,SF,RP,"$545,500",1 (2018),"$545,500","$545,500"
831,J.P. Crawford,PHI,SS,"$545,500",1 (2018),"$545,500","$545,500"
832,Victor Arano,PHI,RP,"$545,500",1 (2018),"$545,500","$545,500"
833,Anthony Alford,TOR,OF,"$545,400",1 (2018),"$545,400","$545,400"
834,Luke Bard,LAA,RP,"$545,000",1 (2018),"$545,000","$545,000"
835,Brady Rodgers,HOU,SP,"$545,000",1 (2018),"$545,000","$545,000"
836,Dean Deetz,HOU,SP,"$545,000",1 (2018),"$545,000","$545,000"
837,Renato Nunez,OAK,OF,"$545,000",1 (2018),"$545,000","$545,000"
838,Thomas Pannone,TOR,SP,"$545,000",1 (2018),"$545,000","$545,000"
839,Jack Flaherty,STL,SP,"$545,000",1 (2018),"$545,000","$545,000"
840,Jordan Hicks,STL,RP,"$545,000",1 (2018),"$545,000","$545,000"
841,Mike Mayers,STL,RP,"$545,000",1 (2018),"$545,000","$545,000"
842,Yairo Munoz,STL,SS,"$545,000",1 (2018),"$545,000","$545,000"
843,Julian Fernandez,SF,RP,"$545,000",1 (2018),"$545,000","$545,000"
844,Pierce Johnson,SF,RP,"$545,000",1 (2018),"$545,000","$545,000"
845,Cody Anderson,CLE,SP,"$545,000",1 (2018),"$545,000","$545,000"
846,Brian Anderson,MIA,3B,"$545,000",1 (2018),"$545,000","$545,000"
847,Chad Wallach,MIA,C,"$545,000",1 (2018),"$545,000","$545,000"
848,Garrett Cooper,MIA,1B,"$545,000",1 (2018),"$545,000","$545,000"
849,JT Riddle,MIA,SS,"$545,000",1 (2018),"$545,000","$545,000"
850,Lewis Brinson,MIA,OF,"$545,000",1 (2018),"$545,000","$545,000"
851,Tayron Guerrero,MIA,RP,"$545,000",1 (2018),"$545,000","$545,000"
852,Tomas Telis,MIA,C,"$545,000",1 (2018),"$545,000","$545,000"
853,Nestor Cortes,BAL,RP,"$545,000",1 (2018),"$545,000","$545,000"
854,Pedro Araujo,BAL,RP,"$545,000",1 (2018),"$545,000","$545,000"
855,Adam Cimber,SD,RP,"$545,000",1 (2018),"$545,000","$545,000"
856,Nick Burdi,PIT,RP,"$545,000",1 (2018),"$545,000","$545,000"
857,Nik Turley,PIT,RP,"$545,000",1 (2018),"$545,000","$545,000"
858,Carlos Tocci,TEX,OF,"$545,000",1 (2018),"$545,000","$545,000"
859,Joe Palumbo,TEX,SP,"$545,000",1 (2018),"$545,000","$545,000"
860,Ryan Yarbrough,TB,RP,"$545,000",1 (2018),"$545,000","$545,000"
861,Yonny Chirinos,TB,RP,"$545,000",1 (2018),"$545,000","$545,000"
862,Bobby Poyner,BOS,RP,"$545,000",1 (2018),"$545,000","$545,000"
863,Marcus Walden,BOS,RP,"$545,000",1 (2018),"$545,000","$545,000"
864,Jackson Stephens,CIN,RP,"$545,000",1 (2018),"$545,000","$545,000"
865,Jesse Winker,CIN,OF,"$545,000",1 (2018),"$545,000","$545,000"
866,Kevin Shackelford,CIN,RP,"$545,000",1 (2018),"$545,000","$545,000"
867,Phillip Ervin,CIN,OF,"$545,000",1 (2018),"$545,000","$545,000"
868,Rookie Davis,CIN,SP,"$545,000",1 (2018),"$545,000","$545,000"
869,Sal Romano,CIN,SP,"$545,000",1 (2018),"$545,000","$545,000"
870,Tyler Mahle,CIN,SP,"$545,000",1 (2018),"$545,000","$545,000"
871,Zack Weiss,CIN,RP,"$545,000",1 (2018),"$545,000","$545,000"
872,Rayan Gonzalez,COL,RP,"$545,000",1 (2018),"$545,000","$545,000"
873,Brad Keller,KC,RP,"$545,000",1 (2018),"$545,000","$545,000"
874,Tim Hill,KC,RP,"$545,000",1 (2018),"$545,000","$545,000"
875,Victor Reyes,DET,OF,"$545,000",1 (2018),"$545,000","$545,000"
876,Gabriel Moya,MIN,RP,"$545,000",1 (2018),"$545,000","$545,000"
877,Tyler Kinley,MIN,RP,"$545,000",1 (2018),"$545,000","$545,000"
